tol_mult,families,cap,mode,n,nz,hod7.5,lod7.5,rand7.5,hod10,lod10,rand10,min10,min7.5,lift10
0.75,atr+cam+em+ext+ladder+pdc+piv+pw,0,snap,313,58.1917,0.7859,0.8051,0.9708,0.8498,0.8722,0.9985,0.8498,0.7859,-0.13750000000000007
0.75,cam+em+ext+ladder+pdc+piv+pw,0,snap,313,57.0639,0.7764,0.8019,0.9658,0.8466,0.8754,0.9979,0.8466,0.7764,-0.13690000000000002
0.75,atr+cam+em+ext+ladder+pdc+piv+pw,0,mean,313,58.1885,0.7859,0.8019,0.9709,0.8435,0.8754,0.9985,0.8435,0.7859,-0.13905
0.75,cam+em+ext+ladder+pdc+piv+pw,0,mean,313,57.0607,0.7732,0.7987,0.9659,0.8403,0.8786,0.9979,0.8403,0.7732,-0.13844999999999996
1.0,atr+cam+em+ext+ladder+pdc+piv+pw,0,snap,313,53.2812,0.7668,0.8019,0.9501,0.8403,0.8722,0.9963,0.8403,0.7668,-0.14005
1.0,atr+cam+em+ext+ladder+pdc+piv+pw,0,mean,313,53.2748,0.7668,0.7955,0.9501,0.8371,0.8754,0.9963,0.8371,0.7668,-0.14005
1.0,cam+em+ext+ladder+pdc+piv+pw,0,snap,313,52.3738,0.7572,0.7987,0.9427,0.8371,0.8722,0.995,0.8371,0.7572,-0.14035000000000009
1.0,cam+em+ext+ladder+pdc+piv+pw,0,mean,313,52.3674,0.754,0.7923,0.9427,0.8339,0.8786,0.995,0.8339,0.754,-0.13875000000000004
1.5,atr+cam+em+ext+ladder+pdc+piv+pw,0,snap,313,45.5463,0.7476,0.7636,0.8672,0.8243,0.8594,0.9842,0.8243,0.7476,-0.14234999999999998
1.5,cam+em+ext+ladder+pdc+piv+pw,0,snap,313,44.8019,0.7348,0.7572,0.8545,0.8211,0.853,0.9815,0.8211,0.7348,-0.14444999999999997
0.75,atr+cam+em+ext+pdc+piv+pw,0,snap,313,50.0831,0.7412,0.7827,0.9161,0.8179,0.8594,0.9873,0.8179,0.7412,-0.14864999999999995
1.5,atr+cam+em+ext+ladder+pdc+piv+pw,0,mean,313,45.5463,0.738,0.7572,0.8673,0.8147,0.8626,0.9842,0.8147,0.738,-0.14554999999999996
