ts,entry,exit,pnl,dir,bars,how
2025-01-03 12:32:00-05:00,21505.75,21525.75,-20.0,S,8,stop
2025-01-06 12:02:00-05:00,21768.25,21748.25,-20.0,L,40,stop
2025-01-08 13:29:00-05:00,21418.0,21400.0,18.0,S,1,tgt
2025-01-13 12:00:00-05:00,20880.5,20900.5,-20.0,S,30,stop
2025-01-13 15:03:00-05:00,20967.0,20987.0,-20.0,S,23,stop
2025-01-20 09:46:00-05:00,21660.25,21682.5,22.25,L,4,tgt
2025-01-21 13:21:00-05:00,21725.75,21705.75,-20.0,L,31,stop
2025-01-22 14:13:00-05:00,22020.5,22000.5,-20.0,L,37,stop
2025-01-24 11:57:00-05:00,21948.0,21928.0,-20.0,L,12,stop
2025-01-28 14:51:00-05:00,21584.5,21600.0,15.5,L,4,tgt
2025-01-29 13:33:00-05:00,21444.5,21400.0,44.5,S,3,tgt
2025-01-31 12:35:00-05:00,21778.5,21758.5,-20.0,L,1,stop
2025-02-04 14:01:00-05:00,21640.75,21680.0,39.25,L,53,tgt
2025-02-05 10:18:00-05:00,21578.75,21600.0,21.25,L,9,tgt
2025-02-10 11:12:00-05:00,21832.0,21850.0,18.0,L,26,tgt
2025-02-12 12:45:00-05:00,21783.25,21800.0,16.75,L,7,tgt
2025-02-12 13:07:00-05:00,21776.0,21800.0,24.0,L,27,tgt
2025-02-14 10:22:00-05:00,22122.5,22102.5,-20.0,L,67,stop
2025-02-14 13:53:00-05:00,22161.75,22200.0,38.25,L,41,tgt
2025-02-19 12:13:00-05:00,22208.5,22250.0,41.5,L,13,tgt
2025-02-24 11:21:00-05:00,21638.75,21658.75,-20.0,S,24,stop
2025-02-25 11:30:00-05:00,21179.0,21199.0,-20.0,S,8,stop
2025-02-25 14:25:00-05:00,21244.0,21200.0,44.0,S,6,tgt
2025-02-28 12:38:00-05:00,20630.25,20650.25,-20.0,S,2,stop
2025-03-06 13:53:00-05:00,20169.75,20150.0,19.75,S,2,tgt
2025-03-07 09:50:00-05:00,20018.0,20003.0,15.0,S,1,tgt
2025-03-07 11:39:00-05:00,19922.25,19942.25,-20.0,S,1,stop
2025-03-11 12:49:00-04:00,19341.25,19361.25,-20.0,S,1,stop
2025-03-12 10:19:00-04:00,19478.25,19498.25,-20.0,S,5,stop
2025-03-14 13:41:00-04:00,19678.25,19698.25,-20.0,S,5,stop
2025-03-19 13:13:00-04:00,19880.25,19900.25,-20.0,S,1,stop
2025-03-24 13:04:00-04:00,20319.0,20350.0,31.0,L,35,tgt
2025-03-25 12:30:00-04:00,20418.0,20450.0,32.0,L,50,tgt
2025-03-26 14:52:00-04:00,20121.0,20100.0,21.0,S,8,tgt
2025-03-27 14:23:00-04:00,20117.75,20100.0,17.75,S,3,tgt
2025-03-28 14:56:00-04:00,19467.75,19450.0,17.75,S,4,tgt
2025-03-31 11:30:00-04:00,19271.5,19250.0,21.5,S,14,tgt
2025-04-01 13:57:00-04:00,19439.75,19459.75,-20.0,S,4,stop
2025-04-03 13:42:00-04:00,18818.0,18838.0,-20.0,S,1,stop
2025-04-04 10:05:00-04:00,17999.0,17968.0,31.0,S,1,tgt
2025-04-04 14:23:00-04:00,17732.25,17752.25,-20.0,S,1,stop
2025-04-07 15:07:00-04:00,17676.5,17696.5,-20.0,S,1,stop
2025-04-09 10:49:00-04:00,17381.5,17401.5,-20.0,S,1,stop
2025-04-09 12:36:00-04:00,18676.5,18696.5,-20.0,S,1,stop
2025-04-11 11:07:00-04:00,18595.25,18575.75,19.5,S,2,tgt
2025-04-11 11:39:00-04:00,18728.25,18748.25,-20.0,S,4,stop
2025-04-15 12:24:00-04:00,18937.25,18917.25,-20.0,L,1,stop
2025-04-21 13:19:00-04:00,17738.75,17758.75,-20.0,S,11,stop
2025-04-21 14:23:00-04:00,17791.0,17811.0,-20.0,S,12,stop
2025-04-21 14:59:00-04:00,17922.25,17903.75,18.5,S,4,tgt
2025-04-22 14:59:00-04:00,18380.0,18400.0,-20.0,S,1,stop
2025-04-25 12:41:00-04:00,19476.75,19456.75,-20.0,L,1,stop
2025-04-29 11:50:00-04:00,19522.75,19502.75,-20.0,L,5,stop
2025-04-30 12:07:00-04:00,19410.5,19390.5,-20.0,L,1,stop
2025-05-01 10:58:00-04:00,19973.75,19953.75,-20.0,L,6,stop
2025-05-05 14:57:00-04:00,20061.5,20041.5,-20.0,L,4,stop
2025-05-06 15:04:00-04:00,19872.5,19900.0,27.5,L,11,tgt
2025-05-07 12:38:00-04:00,19871.25,19851.25,-20.0,L,13,stop
2025-05-07 13:17:00-04:00,19719.25,19739.0,19.75,L,3,tgt
2025-05-13 14:56:00-04:00,21284.5,21264.5,-20.0,L,4,stop
2025-05-14 12:14:00-04:00,21345.5,21325.5,-20.0,L,2,stop
2025-05-19 13:23:00-04:00,21465.25,21500.0,34.75,L,32,tgt
