day,hod,lod,vix,hod_dist,lod_dist,hod_hit,lod_hit
2020-04-20,8846.0,8602.75,34.9,7.5,3.5,True,True
2020-06-01,9605.75,9481.25,17.3,1.8,2.4,True,True
2020-06-10,10155.5,9958.5,14.9,44.5,41.5,False,False
2020-07-16,10646.0,10475.5,22.3,1.6,12.4,True,True
2020-07-22,10899.25,10761.25,22.1,5.5,8.6,True,True
2020-07-31,10933.5,10691.0,26.0,5.0,9.5,True,True
2020-08-03,11073.0,10899.5,25.6,14.8,4.4,False,True
2020-10-15,11941.5,11736.5,26.0,4.0,3.2,True,True
2020-12-18,12789.75,12610.0,12.5,10.2,2.0,True,True
2021-01-10,13105.25,13021.75,12.1,5.2,21.8,True,False
2021-02-12,13820.75,13646.0,23.2,20.8,9.7,False,True
2021-03-17,13271.0,12934.25,31.1,29.0,6.5,False,True
2021-03-22,13157.0,12870.0,25.9,9.7,3.8,True,True
2021-05-23,13446.75,13356.5,20.7,6.1,11.2,True,True
2021-09-09,15675.75,15545.75,9.8,3.4,6.2,True,True
2022-02-28,14292.25,13844.5,38.7,1.6,1.8,True,True
2022-03-24,14814.0,14433.5,31.2,14.0,9.4,True,True
2022-03-25,14840.5,14572.5,31.6,40.5,8.1,False,True
2022-06-06,12810.0,12488.0,30.7,10.0,2.0,True,True
2022-07-31,12998.75,12905.25,22.1,1.2,2.2,True,True
2022-08-11,13575.0,13285.0,23.2,25.0,10.1,False,True
2022-09-04,12149.5,12054.75,23.7,0.5,4.8,True,True
2022-09-13,12987.0,12082.25,26.0,13.0,21.1,True,False
2022-09-16,11961.25,11778.5,32.9,9.2,21.5,True,False
2022-09-19,12092.5,11792.25,32.2,4.8,12.0,True,True
2022-11-06,10892.0,10751.0,37.7,2.9,22.5,True,False
2023-01-02,11150.0,10952.0,26.0,3.4,0.8,True,True
2023-01-16,11611.25,11510.25,20.9,4.6,4.5,True,True
2023-01-26,12113.0,11904.25,18.6,13.0,2.6,True,True
2023-02-21,12357.75,12090.25,24.2,9.9,9.8,True,True
2023-04-13,13228.0,12957.25,13.9,8.0,3.1,True,True
2023-05-04,13173.0,13001.75,11.0,5.4,4.4,True,True
2023-05-07,13332.75,13294.25,11.7,5.4,9.2,True,True
2023-10-25,14792.0,14302.25,17.2,6.0,2.2,True,True
2023-11-09,15453.75,15207.75,18.7,15.0,6.1,True,True
2023-11-15,16049.5,15824.0,19.6,49.5,24.0,False,False
2024-02-12,18121.5,17911.25,13.4,21.5,13.6,True,True
2024-02-21,17816.75,17372.75,14.5,3.2,27.2,True,False
2024-03-03,18365.5,18326.5,13.2,34.5,26.5,False,False
2024-03-27,18571.75,18378.5,13.9,0.5,2.5,True,True
2024-04-11,18518.75,18088.0,12.8,14.9,7.0,True,True
2024-05-19,18679.25,18633.0,13.9,3.4,2.8,True,True
2024-07-12,20741.0,20335.0,13.7,5.2,33.3,True,False
2024-07-14,20591.5,20508.0,13.9,12.0,8.0,True,True
2024-07-29,19377.25,19076.0,17.4,16.0,6.5,True,True
2024-07-31,19717.0,19096.0,16.9,3.0,11.5,True,True
2024-08-12,18765.25,18523.5,30.7,36.1,4.0,False,True
2024-09-04,19114.75,18830.25,20.2,14.8,30.2,True,False
2024-09-05,19150.5,18791.0,20.2,1.2,9.0,True,True
2024-09-20,20084.0,19860.0,23.0,16.0,9.8,True,True
2024-12-05,21567.25,21424.75,11.5,32.8,24.8,False,True
2024-12-25,22111.25,22043.25,20.0,11.2,43.2,True,False
2025-01-01,21376.5,21121.75,20.6,17.6,21.8,True,True
2025-01-29,21697.0,21367.0,16.6,3.0,10.8,True,True
2025-02-28,20944.25,20460.5,17.0,44.2,39.5,False,False
2025-05-02,20276.75,19864.0,55.6,23.2,15.5,True,True
2025-05-28,21833.5,21321.25,14.7,33.5,3.6,False,True
2025-07-14,23173.75,22804.25,9.8,26.2,4.2,True,True
2025-10-14,24947.5,24421.0,20.8,24.2,11.5,True,True
2025-11-11,25761.5,25478.5,13.4,19.0,13.5,True,True
