day,hod,lod,hod_dist,lod_dist,hod_hit,lod_hit
2020-07-16,10646.0,10475.5,2.8,12.4,True,True
2020-08-26,12001.5,11726.75,1.5,4.2,True,True
2020-09-04,11843.0,11142.0,8.2,42.0,True,False
2020-10-08,11602.5,11487.75,0.7,11.4,True,True
2020-10-14,12178.0,11861.75,20.5,31.8,False,False
2020-10-23,11691.75,11551.0,9.3,25.0,True,False
2020-10-26,11695.5,11343.25,1.0,43.2,True,False
2021-01-06,12796.0,12491.25,1.8,8.8,True,True
2021-03-08,12715.75,12281.75,16.9,20.5,False,False
2021-03-28,12975.75,12846.0,3.2,16.9,True,False
2021-04-29,14064.0,13818.5,4.5,2.5,True,True
2021-05-31,13712.0,13651.5,12.6,7.9,True,True
2021-06-03,13697.25,13462.25,3.7,15.5,True,True
2021-08-02,15056.25,14932.25,12.4,2.0,True,True
2021-11-15,16276.5,16082.25,10.8,12.3,True,True
2022-04-29,13433.0,12831.75,29.5,16.2,False,False
2022-05-23,12075.5,11783.75,4.8,19.9,True,False
2022-05-24,11892.5,11576.25,6.6,23.8,True,False
2022-07-31,12998.75,12905.25,1.2,5.2,True,True
2022-09-20,12088.75,11828.25,7.5,21.1,True,False
2022-10-02,11050.25,10890.75,45.5,9.2,False,True
2022-10-25,11734.0,11436.25,34.0,4.5,False,True
2022-11-03,10996.0,10692.75,4.0,14.8,True,False
2022-11-07,11063.5,10813.0,1.5,9.2,True,True
2022-11-09,11154.5,10822.25,45.5,13.9,False,False
2022-12-26,11183.75,11104.0,1.2,3.1,True,True
2023-02-16,12784.0,12394.25,26.3,0.6,False,True
2023-03-03,12329.0,12019.0,11.1,12.5,True,True
2023-03-13,12222.75,11806.25,5.5,8.8,True,True
2023-04-05,13236.0,13006.0,32.9,6.0,False,True
2023-05-25,14031.25,13826.5,31.2,5.1,False,True
2023-06-14,15243.5,14976.0,43.5,28.8,False,False
2023-06-16,15475.5,15258.5,24.5,20.0,False,False
2023-11-28,16086.5,15945.25,8.4,4.8,True,True
2023-12-12,16613.25,16396.5,13.2,3.5,True,True
2023-12-17,16858.75,16802.25,25.4,9.2,False,True
2024-03-12,18491.0,18174.0,9.0,6.9,True,True
2024-03-20,18606.5,18234.0,6.5,9.2,True,True
2024-04-02,18511.0,18201.5,9.0,1.5,True,True
2024-04-25,17827.5,17308.25,34.5,8.2,False,True
2024-05-07,18266.25,18151.0,33.8,49.0,False,False
2024-06-11,19269.75,18994.5,30.2,10.0,False,True
2024-08-04,18390.0,17888.0,10.0,12.0,True,True
2024-08-06,18483.25,17966.0,23.4,34.0,False,False
2024-08-19,19914.5,19525.25,14.5,2.5,True,True
2024-08-22,20025.25,19542.0,25.2,16.8,False,True
2024-09-03,19644.75,18825.75,14.9,18.2,True,True
2024-09-24,20214.75,19953.0,12.8,19.2,True,True
2024-09-25,20381.0,20064.25,19.0,1.0,True,True
2024-10-10,20508.25,20301.5,8.2,10.4,True,True
2024-12-22,21731.25,21565.75,30.8,37.9,False,False
2025-01-10,21372.5,20874.75,2.2,25.2,True,True
2025-01-16,21567.25,21172.25,11.8,0.6,True,True
2025-02-11,21871.5,21669.5,22.8,24.8,True,True
2025-03-13,19631.0,19170.0,23.2,30.5,True,False
2025-05-13,21346.5,20824.5,46.5,24.5,False,True
2025-06-06,21873.5,21629.0,14.8,11.2,True,True
2025-07-21,23424.75,23223.75,24.8,3.6,True,True
2025-10-16,25179.5,24643.5,18.8,26.8,True,True
2025-11-13,25721.5,24973.25,0.8,26.8,True,True
