label,n_zones,w_rate,avg_rate,max_rate,touches,lift,n5,n8,dimension,param_val,tol_mult,score_exp_val
ALL features,47,0.0791,0.0866,0.25,3524.0,-0.0399,3,2,feature_ablation,,,
No ledge,47,0.0791,0.0866,0.25,3524.0,-0.0399,3,2,feature_ablation,,,
No lvn,39,0.0776,0.0855,0.25,3193.0,-0.0414,3,2,feature_ablation,,,
No pdh,41,0.0766,0.0805,0.157,3182.0,-0.0424,0,0,feature_ablation,,,
No pdl,40,0.0755,0.0845,0.25,2949.0,-0.0435,3,2,feature_ablation,,,
No pwh,47,0.0791,0.0866,0.25,3524.0,-0.0399,3,2,feature_ablation,,,
No pwl,47,0.0791,0.0866,0.25,3524.0,-0.0399,3,2,feature_ablation,,,
No shelf,34,0.0857,0.094,0.25,2345.0,-0.0333,3,2,feature_ablation,,,
No vah,47,0.0788,0.0863,0.25,3525.0,-0.0402,3,2,feature_ablation,,,
No val,43,0.08,0.0874,0.25,3070.0,-0.039,3,2,feature_ablation,,,
Only ledge,0,0.0,0.0,0.0,0.0,-0.11900097943192949,0,0,feature_solo,,,
Only lvn,8,0.0933,0.0921,0.14,331.0,-0.0257,0,0,feature_solo,,,
Only pdh,10,0.0768,0.0987,0.25,728.0,-0.0422,3,2,feature_solo,,,
Only pdl,9,0.0995,0.0987,0.157,694.0,-0.0195,0,0,feature_solo,,,
Only pwh,1,0.027,0.027,0.027,73.0,-0.092,0,0,feature_solo,,,
Only pwl,1,0.157,0.157,0.157,70.0,0.038,0,0,feature_solo,,,
Only shelf,20,0.0653,0.0683,0.147,1680.0,-0.0537,0,0,feature_solo,,,
Only vah,3,0.0866,0.0917,0.103,138.0,-0.0324,0,0,feature_solo,,,
Only val,4,0.0729,0.0775,0.108,454.0,-0.0461,0,0,feature_solo,,,
ALL timeframes,47,0.0791,0.0866,0.25,3524.0,-0.0399,3,2,tf_contribution,,,
No 30d,43,0.0799,0.0879,0.25,3302.0,-0.0391,3,2,tf_contribution,,,
No 60d,41,0.0777,0.0862,0.25,3075.0,-0.0413,3,2,tf_contribution,,,
No 90d,38,0.0801,0.0874,0.25,2808.0,-0.0389,3,2,tf_contribution,,,
No weekly,43,0.0819,0.0891,0.25,3111.0,-0.0371,3,2,tf_contribution,,,
Only 30d,28,0.0819,0.0905,0.25,1954.0,-0.0371,3,2,tf_solo,,,
Only 60d,30,0.0866,0.0931,0.25,2018.0,-0.0324,3,2,tf_solo,,,
Only 90d,28,0.0866,0.0956,0.25,2008.0,-0.0324,3,2,tf_solo,,,
Only weekly,25,0.0797,0.0899,0.25,2044.0,-0.0393,3,2,tf_solo,,,
hvn=0.080,53,0.0785,0.0849,0.255,3942.0,-0.0405,3,2,hvn_prominence,0.08,,
hvn=0.110,50,0.0801,0.0871,0.255,3728.0,-0.0389,3,2,hvn_prominence,0.11,,
hvn=0.140,48,0.0799,0.0872,0.25,3611.0,-0.0391,3,2,hvn_prominence,0.14,,
